President,mmddyy,DayInTerm,YRinTerm,DecYR,Democrat,Approve,Disapprove,No.Opinion,GDPpercap (chained 2005),% GDP Change,Disposable personal income percap (2005 chained),% RDI Change,Casualties,cas+5
Obama,11/2/2011,1017,2.7863014,2011.8356,1,44,51,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,10/31/2011,1015,2.7808219,2011.8301,1,44,52,3,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,10/29/2011,1013,2.7753425,2011.8247,1,43,52,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,10/25/2011,1009,2.7643836,2011.8137,1,47,49,4,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,10/23/2011,1007,2.7589041,2011.8082,1,43,50,8,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,10/19/2011,1003,2.7479452,2011.7973,1,46,46,8,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,10/17/2011,1001,2.7424658,2011.7918,1,40,55,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,10/15/2011,999,2.7369863,2011.7863,1,40,53,7,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,10/14/2011,998,2.7342466,2011.7836,1,46,50,3,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,10/9/2011,993,2.7205479,2011.7699,1,44,50,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,10/6/2011,990,2.7123288,2011.7616,1,41,53,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,10/6/2011,990,2.7123288,2011.7616,1,44,51,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,9/29/2011,983,2.6931507,2011.7425,1,42,54,4,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,9/28/2011,982,2.690411,2011.7397,1,44,50,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,9/28/2011,982,2.690411,2011.7397,1,44,44,12,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,9/27/2011,981,2.6876712,2011.737,1,41,55,4,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,9/25/2011,979,2.6821918,2011.7315,1,43,51,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,9/23/2011,977,2.6767123,2011.726,1,45,52,3,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,9/22/2011,976,2.6739726,2011.7233,1,43,48,9,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,9/22/2011,976,2.6739726,2011.7233,1,45,44,12,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,9/17/2011,971,2.660274,2011.7096,1,41,56,3,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,9/15/2011,969,2.6547945,2011.7041,1,42,53,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,9/13/2011,967,2.6493151,2011.6986,1,39,52,9,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,9/12/2011,966,2.6465753,2011.6959,1,40,53,8,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,9/10/2011,964,2.6410959,2011.6904,1,43,50,7,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,9/9/2011,963,2.6383562,2011.6877,1,43,55,2,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,9/9/2011,963,2.6383562,2011.6877,1,45,49,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,9/8/2011,962,2.6356164,2011.6849,1,37,57,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,8/29/2011,952,2.6082192,2011.6575,1,43,54,3,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,8/29/2011,952,2.6082192,2011.6575,1,44,47,9,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,8/28/2011,951,2.6054795,2011.6548,1,45,50,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,8/27/2011,950,2.6027397,2011.6521,1,44,51,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,8/24/2011,947,2.5945205,2011.6438,1,45,54,1,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,8/17/2011,940,2.5753425,2011.6247,1,43,49,7,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,8/17/2011,940,2.5753425,2011.6247,1,41,53,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,8/16/2011,939,2.5726027,2011.6219,1,42,52,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,8/11/2011,934,2.5589041,2011.6082,1,41,54,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,8/9/2011,932,2.5534247,2011.6027,1,44,46,10,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,8/7/2011,930,2.5479452,2011.5973,1,42,48,9,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,8/6/2011,929,2.5452055,2011.5945,1,45,51,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,8/5/2011,928,2.5424658,2011.5918,1,44,54,2,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,8/4/2011,927,2.539726,2011.589,1,47,50,4,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,8/3/2011,926,2.5369863,2011.5863,1,44,50,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,8/1/2011,924,2.5315068,2011.5808,1,44,47,9,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,8/1/2011,924,2.5315068,2011.5808,1,45,52,2,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,7/20/2011,912,2.4986301,2011.5479,1,44,48,8,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,7/20/2011,912,2.4986301,2011.5479,1,42,52,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,7/18/2011,910,2.4931507,2011.5425,1,45,54,2,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,7/17/2011,909,2.490411,2011.5397,1,47,48,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,7/17/2011,909,2.490411,2011.5397,1,45,46,9,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,7/15/2011,907,2.4849315,2011.5342,1,45,50,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,7/14/2011,906,2.4821918,2011.5315,1,47,49,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,7/14/2011,906,2.4821918,2011.5315,1,47,48,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,7/7/2011,899,2.4630137,2011.5123,1,43,52,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,7/5/2011,897,2.4575342,2011.5068,1,47,46,7,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,6/29/2011,891,2.4410959,2011.4904,1,46,47,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,6/26/2011,888,2.4328767,2011.4822,1,46,46,8,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,6/24/2011,886,2.4273973,2011.4767,1,47,44,9,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,6/20/2011,882,2.4164384,2011.4658,1,48,46,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,6/18/2011,880,2.4109589,2011.4603,1,49,47,4,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,6/17/2011,879,2.4082192,2011.4575,1,44,43,13,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,6/17/2011,879,2.4082192,2011.4575,1,49,44,7,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,6/17/2011,879,2.4082192,2011.4575,1,42,52,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,6/15/2011,877,2.4027397,2011.4521,1,46,45,8,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,6/9/2011,871,2.3863014,2011.4356,1,49,46,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,6/9/2011,871,2.3863014,2011.4356,1,44,49,7,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,6/5/2011,867,2.3753425,2011.4247,1,48,43,8,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,6/3/2011,865,2.369863,2011.4192,1,48,43,9,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,6/3/2011,865,2.369863,2011.4192,1,48,48,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,6/2/2011,864,2.3671233,2011.4164,1,47,50,4,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,5/25/2011,856,2.3452055,2011.3945,1,52,39,10,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,5/24/2011,855,2.3424658,2011.3918,1,54,45,2,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,5/21/2011,852,2.3342466,2011.3836,1,49,45,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,5/20/2011,851,2.3315068,2011.3808,1,49,39,12,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,5/20/2011,851,2.3315068,2011.3808,1,47,44,9,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,5/18/2011,849,2.3260274,2011.3753,1,51,41,8,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,5/17/2011,848,2.3232877,2011.3726,1,49,47,4,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,5/15/2011,846,2.3178082,2011.3671,1,55,41,4,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,5/12/2011,843,2.309589,2011.3589,1,52,44,3,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,5/8/2011,839,2.2986301,2011.3479,1,52,44,4,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,5/5/2011,836,2.290411,2011.3397,1,50,39,11,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,5/5/2011,836,2.290411,2011.3397,1,54,40,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,5/5/2011,836,2.290411,2011.3397,1,52,41,7,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,5/2/2011,833,2.2821918,2011.3315,1,57,37,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,5/2/2011,833,2.2821918,2011.3315,1,52,40,8,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,5/2/2011,833,2.2821918,2011.3315,1,52,43,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,5/2/2011,833,2.2821918,2011.3315,1,56,38,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,4/29/2011,830,2.2739726,2011.3233,1,51,46,4,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,4/28/2011,829,2.2712329,2011.3205,1,46,44,10,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,4/26/2011,827,2.2657534,2011.3151,1,46,48,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,4/25/2011,826,2.2630137,2011.3123,1,47,47,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,4/20/2011,821,2.2493151,2011.2986,1,47,48,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,4/17/2011,818,2.2410959,2011.2904,1,42,53,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,4/16/2011,817,2.2383562,2011.2877,1,47,47,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,4/15/2011,816,2.2356164,2011.2849,1,46,45,9,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,4/14/2011,815,2.2328767,2011.2822,1,48,49,3,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,4/10/2011,811,2.2219178,2011.2712,1,44,49,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,4/10/2011,811,2.2219178,2011.2712,1,44,50,7,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,4/9/2011,810,2.2191781,2011.2685,1,48,50,2,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,4/7/2011,808,2.2136986,2011.263,1,43,51,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,4/3/2011,804,2.2027397,2011.2521,1,49,47,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,3/31/2011,801,2.1945205,2011.2438,1,49,45,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,3/31/2011,801,2.1945205,2011.2438,1,45,43,12,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,3/30/2011,800,2.1917808,2011.2411,1,47,45,8,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,3/26/2011,796,2.1808219,2011.2301,1,48,45,7,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,3/25/2011,795,2.1780822,2011.2274,1,47,48,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,3/22/2011,792,2.169863,2011.2192,1,42,48,10,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,3/18/2011,788,2.1589041,2011.2082,1,49,41,10,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,3/18/2011,788,2.1589041,2011.2082,1,51,47,2,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,3/17/2011,787,2.1561644,2011.2055,1,48,47,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,3/14/2011,784,2.1479452,2011.1973,1,49,44,7,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,3/11/2011,781,2.139726,2011.189,1,50,47,3,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,3/10/2011,780,2.1369863,2011.1863,1,51,45,4,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,3/4/2011,774,2.1205479,2011.1699,1,49,44,8,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,3/4/2011,774,2.1205479,2011.1699,1,51,43,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,3/3/2011,773,2.1178082,2011.1671,1,44,48,8,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,2/24/2011,766,2.0986301,2011.1479,1,48,46,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,2/22/2011,764,2.0931507,2011.1425,1,51,39,10,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,2/22/2011,764,2.0931507,2011.1425,1,46,48,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,2/21/2011,763,2.090411,2011.1397,1,46,46,8,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,2/17/2011,759,2.0794521,2011.1288,1,48,48,4,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,2/11/2011,753,2.0630137,2011.1123,1,48,41,11,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,2/7/2011,749,2.0520548,2011.1014,1,50,44,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,2/7/2011,749,2.0520548,2011.1014,1,51,43,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,2/2/2011,744,2.0383562,2011.0877,1,49,42,9,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,2/2/2011,744,2.0383562,2011.0877,1,52,43,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,1/29/2011,740,2.0273973,2011.0767,1,48,47,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,1/27/2011,738,2.0219178,2011.0712,1,45,40,16,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,1/21/2011,732,2.0054795,2011.0548,1,55,44,1,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,1/18/2011,729,1.9972603,2011.0466,1,47,44,8,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,1/15/2011,726,1.9890411,2011.0384,1,49,39,12,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,1/14/2011,725,1.9863014,2011.0356,1,53,45,2,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,1/13/2011,724,1.9835616,2011.0329,1,53,41,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,1/13/2011,724,1.9835616,2011.0329,1,53,43,3,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,1/9/2011,720,1.9726027,2011.0219,1,47,46,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,1/7/2011,718,1.9671233,2011.0164,1,47,47,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,1/6/2011,717,1.9643836,2011.0137,1,54,38,8,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,1/6/2011,717,1.9643836,2011.0137,1,48,43,9,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,1/5/2011,716,1.9616438,2011.011,1,46,44,10,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,1/5/2011,716,1.9616438,2011.011,1,48,40,12,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,1/4/2011,715,1.9589041,2011.0082,1,48,44,8,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,12/28/2010,708,1.939726,2010.989,1,49,45,6,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,12/17/2010,697,1.909589,2010.9589,1,41,51,8,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,12/17/2010,697,1.909589,2010.9589,1,48,48,4,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,12/14/2010,694,1.9013699,2010.9507,1,40,51,9,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,12/10/2010,690,1.890411,2010.9397,1,46,50,4,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,12/9/2010,689,1.8876712,2010.937,1,45,48,7,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,12/9/2010,689,1.8876712,2010.937,1,49,47,4,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,12/2/2010,682,1.8684932,2010.9178,1,42,50,8,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,12/1/2010,681,1.8657534,2010.9151,1,45,43,13,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,11/29/2010,679,1.860274,2010.9096,1,48,42,10,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,11/29/2010,679,1.860274,2010.9096,1,48,47,6,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,11/27/2010,677,1.8547945,2010.9041,1,49,48,3,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,11/19/2010,669,1.8328767,2010.8822,1,42,54,4,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,11/17/2010,667,1.8273973,2010.8767,1,43,49,8,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,11/15/2010,665,1.8219178,2010.8712,1,45,48,7,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,11/11/2010,661,1.8109589,2010.8603,1,47,47,6,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,11/11/2010,661,1.8109589,2010.8603,1,48,50,3,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,11/7/2010,657,1.8,2010.8493,1,45,45,10,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,11/4/2010,654,1.7917808,2010.8411,1,44,44,12,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,11/4/2010,654,1.7917808,2010.8411,1,44,50,6,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,11/2/2010,652,1.7863014,2010.8356,1,41,52,7,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,11/2/2010,652,1.7863014,2010.8356,1,45,51,3,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,11/2/2010,652,1.7863014,2010.8356,1,45,51,4,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,11/2/2010,652,1.7863014,2010.8356,1,44,55,1,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,10/28/2010,647,1.7726027,2010.8219,1,45,49,6,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,10/28/2010,647,1.7726027,2010.8219,1,45,50,5,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,10/27/2010,646,1.769863,2010.8192,1,46,51,4,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,10/26/2010,645,1.7671233,2010.8164,1,41,50,9,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,10/25/2010,644,1.7643836,2010.8137,1,50,45,5,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,10/23/2010,642,1.7589041,2010.8082,1,47,48,6,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,10/21/2010,640,1.7534247,2010.8027,1,45,47,8,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,10/20/2010,639,1.7506849,2010.8,1,54,40,6,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,10/17/2010,636,1.7424658,2010.7918,1,45,50,4,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,10/17/2010,636,1.7424658,2010.7918,1,43,48,9,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,10/16/2010,635,1.739726,2010.789,1,45,51,4,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,10/14/2010,633,1.7342466,2010.7836,1,47,49,4,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,10/13/2010,632,1.7315068,2010.7808,1,46,45,9,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,10/13/2010,632,1.7315068,2010.7808,1,48,46,6,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,10/11/2010,630,1.7260274,2010.7753,1,43,47,9,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,10/9/2010,628,1.7205479,2010.7699,1,46,48,6,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,10/7/2010,626,1.7150685,2010.7644,1,44,52,6,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,10/7/2010,626,1.7150685,2010.7644,1,47,48,5,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,10/5/2010,624,1.709589,2010.7589,1,45,52,3,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,10/2/2010,621,1.7013699,2010.7507,1,43,53,5,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,10/1/2010,620,1.6986301,2010.7479,1,44,45,11,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,9/30/2010,619,1.6958904,2010.7452,1,43,50,7,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,9/30/2010,619,1.6958904,2010.7452,1,50,47,3,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,9/29/2010,618,1.6931507,2010.7425,1,47,47,6,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,9/29/2010,618,1.6931507,2010.7425,1,48,46,6,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,9/28/2010,617,1.690411,2010.7397,1,42,49,9,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,9/22/2010,611,1.6739726,2010.7233,1,46,49,5,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,9/21/2010,610,1.6712329,2010.7205,1,42,54,4,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,9/19/2010,608,1.6657534,2010.7151,1,46,51,3,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,9/17/2010,606,1.660274,2010.7096,1,44,51,5,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,9/14/2010,603,1.6520548,2010.7014,1,42,52,6,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,9/14/2010,603,1.6520548,2010.7014,1,45,50,5,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,9/13/2010,602,1.6493151,2010.6986,1,44,52,4,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,9/11/2010,600,1.6438356,2010.6932,1,49,47,4,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,9/11/2010,600,1.6438356,2010.6932,1,46,48,5,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,9/10/2010,599,1.6410959,2010.6904,1,45,47,8,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,9/7/2010,596,1.6328767,2010.6822,1,45,49,7,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,9/3/2010,592,1.6219178,2010.6712,1,47,49,5,42390.89603,2.5939706,32481,0.9792949,456,461
Obama,9/1/2010,590,1.6164384,2010.6658,1,50,49,1,42390.89603,2.5939706,32481,0.9792949,456,461
